,date,month,location-long,location-lat,individual-taxon-canonical-name,tag-local-identifier,species-generic-name
,2016-01-01,1,-80.15808111,19.8,Ammodramus savannarum,U324,Grasshopper Sparrow
,2016-01-01,1,-81.22562674,25.65,Ammodramus savannarum,U325,Grasshopper Sparrow
,2016-01-01,1,-79.62914146,19.8,Ammodramus savannarum,U328,Grasshopper Sparrow
,2016-01-01,1,-81.48148148,24.3,Ammodramus savannarum,U332,Grasshopper Sparrow
,2016-01-01,1,-80.38834123,25.65,Ammodramus savannarum,U337,Grasshopper Sparrow
,2016-01-01,1,-79.15231788,19.35,Ammodramus savannarum,S715,Grasshopper Sparrow
,2016-01-01,1,-81.47,28.8,Ammodramus savannarum,S716,Grasshopper Sparrow
,2016-01-01,1,-78.46763786,19.8,Ammodramus savannarum,S717,Grasshopper Sparrow
,2016-01-01,1,-81.6194332,21.6,Ammodramus savannarum,S719,Grasshopper Sparrow
,2016-01-01,1,-81.45252376,26.1,Ammodramus savannarum,S721,Grasshopper Sparrow
,2016-01-01,1,-101.8327007,20.25,Ammodramus savannarum,U300,Grasshopper Sparrow
,2016-01-01,1,-100.289091,19.35,Ammodramus savannarum,U361,Grasshopper Sparrow
,2016-01-01,1,-96.25163752,16.65,Ammodramus savannarum,U381,Grasshopper Sparrow
,2017-01-01,1,-64.3169937,-35.3413506,Bartramia longicauda,146694,Upland Sandpiper
,2017-01-01,1,-52.7613068,-13.2526207,Bartramia longicauda,146702,Upland Sandpiper
,2017-01-01,1,-46.3340149,-12.2805634,Bartramia longicauda,146682,Upland Sandpiper
,2017-01-01,1,-58.8832397,-37.1531906,Bartramia longicauda,146690,Upland Sandpiper
,2017-01-01,1,-53.9603,-1.89487,Bartramia longicauda,158667,Upland Sandpiper
,2017-01-04,1,-56.41227,-33.49078,Bartramia longicauda,158666,Upland Sandpiper
,1997-01-01,1,-64.097,-34.543,Buteo swainsoni,SW16,Swainson's Hawk
,1997-01-11,1,-63.791,-33.765,Buteo swainsoni,SW17,Swainson's Hawk
,1997-01-13,1,-63.671,-33.714,Buteo swainsoni,SW26,Swainson's Hawk
,1997-01-03,1,-62.207,-31.951,Buteo swainsoni,SW19,Swainson's Hawk
,1997-01-05,1,-63.015,-36.756,Buteo swainsoni,SW21,Swainson's Hawk
,1997-01-05,1,-62.271,-31.962,Buteo swainsoni,SW28,Swainson's Hawk
,1997-01-07,1,-61.932,-31.67,Buteo swainsoni,SW40,Swainson's Hawk
,1998-01-20,1,-64.436,-33.679,Buteo swainsoni,SW33,Swainson's Hawk
,1998-01-25,1,-62.351,-31.808,Buteo swainsoni,SW29,Swainson's Hawk
,1998-01-06,1,-63.604,-33.279,Buteo swainsoni,SW20,Swainson's Hawk
,2003-01-03,1,-104.396,30.605,Aquila chrysaetos,37304,Golden Eagle
,2003-01-04,1,-104.986,32.642,Aquila chrysaetos,26359,Golden Eagle
,2003-01-04,1,-103.995,33.206,Aquila chrysaetos,37305,Golden Eagle
,2003-01-04,1,-101.221,35.717,Aquila chrysaetos,37434,Golden Eagle
,2003-01-12,1,-112.684,38.043,Aquila chrysaetos,37433,Golden Eagle
,2004-01-03,1,-105.151,20.431,Aquila chrysaetos,37307,Golden Eagle
,2005-01-03,1,-105.882,34.878,Aquila chrysaetos,18549,Golden Eagle
,2006-01-03,1,-107.607,33.816,Aquila chrysaetos,21260,Golden Eagle
,2016-02-01,2,-80.06,22.95,Ammodramus savannarum,U324,Grasshopper Sparrow
,2016-02-01,2,-81.22562674,25.65,Ammodramus savannarum,U325,Grasshopper Sparrow
,2016-02-01,2,-78.91745215,20.7,Ammodramus savannarum,U328,Grasshopper Sparrow
,2016-02-01,2,-81.48148148,23.85,Ammodramus savannarum,U332,Grasshopper Sparrow
,2016-02-01,2,-81.38696133,25.2,Ammodramus savannarum,U337,Grasshopper Sparrow
,2016-02-01,2,-79.15231788,19.35,Ammodramus savannarum,S715,Grasshopper Sparrow
,2016-02-01,2,-81.47,27.9,Ammodramus savannarum,S716,Grasshopper Sparrow
,2016-02-01,2,-78.45,20.7,Ammodramus savannarum,S717,Grasshopper Sparrow
,2016-02-01,2,-81.14754098,23.85,Ammodramus savannarum,S719,Grasshopper Sparrow
,2016-02-01,2,-81.47100397,27.45,Ammodramus savannarum,S721,Grasshopper Sparrow
,2016-02-01,2,-101.8327007,20.25,Ammodramus savannarum,U300,Grasshopper Sparrow
,2016-02-01,2,-100.289091,19.35,Ammodramus savannarum,U361,Grasshopper Sparrow
,2016-02-01,2,-96.25163752,16.65,Ammodramus savannarum,U381,Grasshopper Sparrow
,2017-02-01,2,-64.2155151,-35.3058434,Bartramia longicauda,146694,Upland Sandpiper
,2017-02-01,2,-52.692749,-13.2272253,Bartramia longicauda,146702,Upland Sandpiper
,2017-02-01,2,-45.5106163,-12.7050371,Bartramia longicauda,146682,Upland Sandpiper
,2017-02-01,2,-56.87359,-34.0413,Bartramia longicauda,158666,Upland Sandpiper
,2017-02-02,2,-55.56844,-2.16948,Bartramia longicauda,158667,Upland Sandpiper
,2017-02-08,2,-58.6314621,-37.180378,Bartramia longicauda,146690,Upland Sandpiper
,1997-02-10,2,-61.838,-31.743,Buteo swainsoni,SW16,Swainson's Hawk
,1997-02-02,2,-61.585,-30.892,Buteo swainsoni,SW19,Swainson's Hawk
,1997-02-02,2,-61.169,-31.038,Buteo swainsoni,SW40,Swainson's Hawk
,1997-02-05,2,-63.687,-33.636,Buteo swainsoni,SW17,Swainson's Hawk
,1997-02-06,2,-63.361,-34.186,Buteo swainsoni,SW21,Swainson's Hawk
,1997-02-06,2,-61.182,-31.343,Buteo swainsoni,SW28,Swainson's Hawk
,1997-02-08,2,-63.808,-34.127,Buteo swainsoni,SW26,Swainson's Hawk
,1998-02-13,2,-64.375,-34.057,Buteo swainsoni,SW29,Swainson's Hawk
,1998-02-14,2,-64.343,-33.55,Buteo swainsoni,SW33,Swainson's Hawk
,1998-02-05,2,-62.568,-32.002,Buteo swainsoni,SW20,Swainson's Hawk
,2003-02-02,2,-112.979,38.451,Aquila chrysaetos,37433,Golden Eagle
,2003-02-03,2,-104.965,32.486,Aquila chrysaetos,26359,Golden Eagle
,2003-02-04,2,-104.124,32.883,Aquila chrysaetos,37305,Golden Eagle
,2003-02-07,2,-104.363,30.413,Aquila chrysaetos,37304,Golden Eagle
,2003-02-08,2,-100.44,33.437,Aquila chrysaetos,37434,Golden Eagle
,2004-02-02,2,-105.257,20.324,Aquila chrysaetos,37307,Golden Eagle
,2005-02-02,2,-105.965,34.874,Aquila chrysaetos,18549,Golden Eagle
,2006-02-02,2,-106.962,36.289,Aquila chrysaetos,21260,Golden Eagle
,2016-03-01,3,-79.21871406,18,Ammodramus savannarum,U324,Grasshopper Sparrow
,2016-03-01,3,-81.22562674,25.65,Ammodramus savannarum,U325,Grasshopper Sparrow
,2016-03-01,3,-79.47437826,18.45,Ammodramus savannarum,U328,Grasshopper Sparrow
,2016-03-01,3,-81.48148148,23.85,Ammodramus savannarum,U332,Grasshopper Sparrow
,2016-03-01,3,-81.58102426,24.75,Ammodramus savannarum,U337,Grasshopper Sparrow
,2016-03-01,3,-79.01298701,16.65,Ammodramus savannarum,S715,Grasshopper Sparrow
,2016-03-01,3,-81.47,27.9,Ammodramus savannarum,S716,Grasshopper Sparrow
,2016-03-01,3,-81.47100397,27.45,Ammodramus savannarum,S721,Grasshopper Sparrow
,2016-03-01,3,-100.9014525,27,Ammodramus savannarum,U300,Grasshopper Sparrow
,2016-03-01,3,-100.289091,19.35,Ammodramus savannarum,U361,Grasshopper Sparrow
,2016-03-01,3,-95.30801393,17.55,Ammodramus savannarum,U381,Grasshopper Sparrow
,2016-03-15,3,-78.40637786,18.9,Ammodramus savannarum,S717,Grasshopper Sparrow
,2016-03-15,3,-81.14754098,23.85,Ammodramus savannarum,S719,Grasshopper Sparrow
,2017-03-01,3,-61.30327,4.75964,Bartramia longicauda,158667,Upland Sandpiper
,2017-03-01,3,-62.9030533,-33.2832909,Bartramia longicauda,146694,Upland Sandpiper
,2017-03-01,3,-52.8227196,-13.2963715,Bartramia longicauda,146702,Upland Sandpiper
,2017-03-01,3,-45.2885895,-12.4876671,Bartramia longicauda,146682,Upland Sandpiper
,2017-03-01,3,-59.82743,-38.74049,Bartramia longicauda,158666,Upland Sandpiper
,2017-03-15,3,-58.6315155,-37.1791725,Bartramia longicauda,146690,Upland Sandpiper
,1997-03-01,3,-62.124,-26.146,Buteo swainsoni,SW17,Swainson's Hawk
,1997-03-03,3,-63.762,-33.071,Buteo swainsoni,SW21,Swainson's Hawk
,1997-03-03,3,-65.089,-11.553,Buteo swainsoni,SW28,Swainson's Hawk
,1997-03-04,3,-61.389,-23.782,Buteo swainsoni,SW19,Swainson's Hawk
,1997-03-05,3,-66.37,-11.996,Buteo swainsoni,SW16,Swainson's Hawk
,1997-03-06,3,-69.447,-10.455,Buteo swainsoni,SW26,Swainson's Hawk
,1997-03-06,3,-66.652,-10.808,Buteo swainsoni,SW40,Swainson's Hawk
,1998-03-01,3,-61.554,-23.724,Buteo swainsoni,SW20,Swainson's Hawk
,1998-03-04,3,-62.488,-31.897,Buteo swainsoni,SW29,Swainson's Hawk
,1998-03-05,3,-63.858,-32.708,Buteo swainsoni,SW33,Swainson's Hawk
,2003-03-01,3,-104.287,30.801,Aquila chrysaetos,37304,Golden Eagle
,2003-03-01,3,-112.821,38.582,Aquila chrysaetos,37433,Golden Eagle
,2003-03-02,3,-104.845,32.694,Aquila chrysaetos,26359,Golden Eagle
,2003-03-07,3,-104.269,33.182,Aquila chrysaetos,37305,Golden Eagle
,2003-03-07,3,-100.711,33.848,Aquila chrysaetos,37434,Golden Eagle
,2004-03-02,3,-105.26,20.449,Aquila chrysaetos,37307,Golden Eagle
,2005-03-01,3,-105.94,34.909,Aquila chrysaetos,18549,Golden Eagle
,2006-03-03,3,-106.849,36.596,Aquila chrysaetos,21260,Golden Eagle
,2015-04-15,4,-70.67114094,41.85,Ammodramus savannarum,S717,Grasshopper Sparrow
,2015-04-15,4,-70.67114094,41.85,Ammodramus savannarum,S719,Grasshopper Sparrow
,2016-04-01,4,-81.22562674,25.65,Ammodramus savannarum,U325,Grasshopper Sparrow
,2016-04-01,4,-79.40460081,22.5,Ammodramus savannarum,U328,Grasshopper Sparrow
,2016-04-01,4,-82.38557106,31.5,Ammodramus savannarum,U332,Grasshopper Sparrow
,2016-04-01,4,-98.87327933,27.45,Ammodramus savannarum,U300,Grasshopper Sparrow
,2016-04-01,4,-98.27160494,24.75,Ammodramus savannarum,U361,Grasshopper Sparrow
,2016-04-01,4,-79.01298701,16.65,Ammodramus savannarum,S715,Grasshopper Sparrow
,2016-04-01,4,-79.21871406,18,Ammodramus savannarum,U324,Grasshopper Sparrow
,2016-04-15,4,-81.58102426,24.75,Ammodramus savannarum,U337,Grasshopper Sparrow
,2016-04-15,4,-80.39,25.2,Ammodramus savannarum,S716,Grasshopper Sparrow
,2016-04-15,4,-81.22561397,27.9,Ammodramus savannarum,S721,Grasshopper Sparrow
,2016-04-15,4,-95.30801393,17.55,Ammodramus savannarum,U381,Grasshopper Sparrow
,2017-04-01,4,-88.7878265,13.6099195,Bartramia longicauda,146694,Upland Sandpiper
,2017-04-01,4,-96.2415466,29.3935738,Bartramia longicauda,146702,Upland Sandpiper
,2017-04-01,4,-45.4141312,-12.4794245,Bartramia longicauda,146682,Upland Sandpiper
,2017-04-01,4,-80.965744,-5.1313281,Bartramia longicauda,146690,Upland Sandpiper
,2017-04-02,4,-64.04125,9.01211,Bartramia longicauda,158667,Upland Sandpiper
,2017-04-02,4,-87.61213,14.30653,Bartramia longicauda,158666,Upland Sandpiper
,1997-04-03,4,-74.431,-1.066,Buteo swainsoni,SW21,Swainson's Hawk
